year,month,day,hour,consumption,generation,dayOfWeek,dayOfYear,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,prev_consumption,consumption_change
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8706259981755117,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8521354094512681,-0.2193913772212164
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8654322181648993,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8706259981755117,-0.203269261222405
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8709919414072609,-0.9839942379256532,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8654322181648993,-0.21058924634756884
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.9248431018393874,-0.9393689420499072,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8709919414072609,-0.2434615665195191
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.9592940432283512,-0.851829735627903,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.9248431018393874,-0.23025570127912864
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.986405208940516,-0.737720964162483,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.9592940432283512,-0.22525946447031475
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.9905246841779216,-0.6043129372728028,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.986405208940516,-0.20960885942390206
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.9980997090751308,-0.571119449155542,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.9905246841779216,-0.21196107632605732
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-1.0,-0.5448576872289407,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.9980997090751308,-0.20809824508961325
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.6709595292924488,-0.6028170141250849,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-1.0,0.017175453673604568
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,0.13941914353600482,-0.6971586694286867,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.6709595292924488,0.34482574556557344
